ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,leads,actions,advertiser,platform,product,region,revenue,date,unit_price,spent
710360,916,104185,45-49,M,21,2182,1,1,1,Sony,Twitter,Sony Pictures,Arkansas,0,2020-02-11,0,1.529999971
710477,916,104205,30-34,F,16,2654,0,1,1,Apple,Facebook,iMac,Nebraska,1099,2021-11-12,1099,0
710480,916,104205,30-34,F,16,57665,14,1,1,Intel,Facebook,Intel Celeron,Alabama,50,2023-11-11,50,18.06999969
710571,916,104220,30-34,F,32,3091,1,1,1,Intel,Twitter,Intel Celeron,Louisiana,50,2023-11-17,50,1.610000014
710617,916,104228,30-34,F,15,5014,1,1,0,Tesla,LinkedIn,Model Y,Ohio,0,2022-07-06,49990,1.190000057
710623,916,104229,30-34,F,16,38726,7,1,0,Microsoft,Instagram,Surface Book,Utah,0,2022-07-10,1499,9.220000267
710628,916,104230,30-34,F,18,1473,0,1,0,Ford,Facebook,Ford Explorer,Maine,0,2021-06-08,32300,0
710682,916,104239,30-34,F,27,1186,0,1,0,Intel,Instagram,Intel Celeron,Connecticut,0,2022-04-21,50,0
710763,916,104252,30-34,F,15,5369,1,1,0,General Electric (GE),Google Ads,GE Appliances,Washington,0,2022-09-05,500,1.50999999
710836,916,104265,30-34,F,29,22221,7,1,1,Ford,Google Ads,Ford Escape,Oregon,24900,2022-07-07,24900,9.430000067
710867,916,104270,30-34,F,63,1185,0,1,0,Google,Twitter,Chromebook,Colorado,0,2023-12-03,199,0
710880,916,104272,30-34,F,65,13019,5,1,0,IBM,LinkedIn,IBM Storage,Alabama,0,2020-09-02,1000,6.960000038
710961,916,104285,35-39,F,25,2508,1,1,0,Sony,LinkedIn,Sony Camera,Delaware,0,2021-08-31,499.99,1.220000029
710968,916,104287,35-39,F,27,5864,2,1,1,Microsoft,Instagram,Xbox Game Pass,South Carolina,9.99,2023-05-16,9.99,2.799999952
711217,916,104328,35-39,F,20,2783,1,1,0,IBM,LinkedIn,IBM Power Systems,Alabama,0,2020-06-21,500,1.600000024
711623,916,104396,40-44,F,15,3812,1,2,1,Samsung,Twitter,Galaxy Watch,Washington,249.99,2020-08-09,249.99,1.129999995
711764,916,104419,45-49,F,10,11199,4,1,1,Toyota,Google Ads,Toyota Prius,Pennsylvania,24970,2021-07-30,24970,5.730000019
711785,916,104423,45-49,F,19,292,0,1,0,Sony,Facebook,Sony Camera,New Mexico,0,2023-08-17,499.99,0
711877,916,104438,45-49,F,63,17572,7,1,0,Google,LinkedIn,Chromebook,Vermont,0,2022-03-06,199,9.379999995
712052,916,104467,45-49,F,10,1448,0,1,1,Sony,Instagram,Sony Home Audio,Vermont,299.99,2020-08-25,299.99,0
734209,936,108654,30-34,M,10,1772,0,1,1,Microsoft,LinkedIn,Surface Laptop,Kansas,999,2022-04-02,999,0
734210,936,108654,30-34,M,10,13329,4,1,1,Amazon,Instagram,Amazon Music,Vermont,9.99,2020-07-27,9.99,5.629999995
734215,936,108655,30-34,M,15,13659,3,1,0,General Electric (GE),Twitter,GE Appliances,Texas,0,2021-07-09,500,3.840000033
734243,936,108660,30-34,M,21,739,0,1,1,Toyota,LinkedIn,Toyota Prius,Hawaii,24970,2023-02-24,24970,0
734266,936,108664,30-34,M,25,605,0,1,0,Microsoft,Instagram,Surface Pro,Georgia,0,2022-04-30,799,0
734272,936,108665,30-34,M,26,1030,0,1,0,Nike,LinkedIn,Nike SB,Maryland,0,2021-01-01,85,0
734290,936,108668,30-34,M,29,5374,1,4,0,Toyota,Twitter,Toyota Tacoma,Indiana,0,2022-01-15,26840,1.039999962
734313,936,108672,30-34,M,36,790,0,1,1,General Electric (GE),Twitter,GE Appliances,Virginia,500,2022-04-25,500,0
734314,936,108672,30-34,M,36,962,0,1,0,Google,Instagram,Nest Thermostat,Arizona,0,2023-06-18,249,0
734352,936,108678,35-39,M,10,4423,1,1,1,Coca-Cola,Instagram,Coca-Cola Classic,Hawaii,1.5,2020-03-02,1.5,1.460000038
734361,936,108680,35-39,M,16,12382,2,1,1,Google,LinkedIn,Nest Cam,Indiana,199,2022-10-10,199,2.839999914
734381,936,108683,35-39,M,20,2938,1,1,1,Sony,Instagram,Sony Camera,Montana,499.99,2023-01-20,499.99,1.350000024
734399,936,108686,35-39,M,23,239,0,1,0,Intel,LinkedIn,Intel NUC,Connecticut,0,2023-07-31,300,0
734418,936,108689,35-39,M,26,591,0,1,0,General Electric (GE),LinkedIn,GE Renewable Energy,Florida,0,2023-09-07,2000,0
734421,936,108690,35-39,M,27,10332,4,1,0,Amazon,Google Ads,Kindle,Minnesota,0,2020-01-05,89,5.75
734427,936,108691,35-39,M,28,8259,3,1,0,Intel,Facebook,Intel NUC,New Mexico,0,2022-11-22,300,3.980000019
734433,936,108692,35-39,M,29,12158,3,1,0,Coca-Cola,Twitter,Diet Coke,Maine,0,2021-12-22,1.5,4.449999928
734582,936,108716,40-44,M,29,7709,2,2,0,Tesla,Google Ads,Model X,Washington,0,2022-01-21,89990,1.320000052
734605,936,108720,40-44,M,36,834,0,1,0,Amazon,Google Ads,AmazonFresh,Arkansas,0,2022-03-15,14,0
734660,936,108729,45-49,M,18,1299,0,2,0,Microsoft,Facebook,OneDrive,New York,0,2023-01-13,1.99,0
734666,936,108730,45-49,M,19,371,0,1,0,Nike,Twitter,Air Jordan,Texas,0,2021-02-28,200,0
734726,936,108740,45-49,M,29,10466,3,1,0,Microsoft,Instagram,Xbox,Georgia,0,2022-12-17,299,4.090000033
734737,936,108742,45-49,M,31,839,0,1,0,IBM,Facebook,IBM Watson,Louisiana,0,2020-01-17,100,0
734785,936,108750,30-34,F,10,5576,1,1,1,Tesla,Facebook,Autopilot,Maine,10000,2022-07-26,10000,1.529999971
734794,936,108752,30-34,F,16,4010,0,1,0,Sony,Facebook,Sony Pictures,Nebraska,0,2021-10-10,0,0
734796,936,108752,30-34,F,16,39337,7,1,1,Toyota,Facebook,Toyota Corolla,North Carolina,20550,2021-12-09,20550,10.03000009
734800,936,108753,30-34,F,18,1635,0,1,0,Intel,Instagram,Intel Evo,Delaware,0,2020-12-01,200,0
734803,936,108753,30-34,F,18,1631,0,1,0,Intel,Facebook,Intel RealSense,California,0,2020-08-29,100,0
734852,936,108761,30-34,F,26,13479,3,1,0,Toyota,Facebook,Toyota Tacoma,Alabama,0,2024-01-20,26840,4.25
734854,936,108762,30-34,F,27,57022,13,3,3,Sony,Google Ads,Sony Headphones,California,599.97,2021-12-22,199.99,20.29000032
734856,936,108762,30-34,F,27,5453,1,1,1,Adidas,Twitter,Superstar,Kentucky,90,2020-08-26,90,1.389999986
734866,936,108764,30-34,F,29,11803,3,1,0,Toyota,Facebook,Toyota Sienna,Minnesota,0,2021-06-09,34560,4.440000057
734881,936,108766,30-34,F,31,4259,1,1,1,Adidas,Google Ads,Ultraboost,Minnesota,180,2022-08-03,180,1.570000052
734901,936,108770,30-34,F,64,1554,0,1,0,Tesla,Twitter,Autopilot,Wyoming,0,2021-02-06,10000,0
734903,936,108770,30-34,F,64,5323,1,1,1,Microsoft,LinkedIn,Windows,Massachusetts,139.99,2021-08-26,139.99,1.289999962
734925,936,108774,35-39,F,10,5024,1,1,1,Tesla,Facebook,Powerwall,Idaho,6500,2022-12-22,6500,1.409999967
734939,936,108776,35-39,F,16,104648,24,4,2,Amazon,Google Ads,Amazon Music,California,19.98,2024-01-22,9.99,33.33000004
734968,936,108781,35-39,F,22,8504,3,1,1,Intel,Facebook,Intel Iris,Iowa,150,2020-12-19,150,3.340000093
734999,936,108786,35-39,F,27,20277,6,1,0,Adidas,LinkedIn,Pharrell Williams,Louisiana,0,2021-01-09,140,8.050000072
735014,936,108788,35-39,F,29,12403,4,1,1,Ford,LinkedIn,Ford F-150,Minnesota,28435,2022-08-28,28435,5.210000038
735032,936,108791,35-39,F,32,498,0,1,1,Apple,Instagram,iPhone,New York,999,2021-05-01,999,0
735033,936,108792,35-39,F,36,652,0,0,0,Intel,Twitter,Intel Atom,Ohio,0,2020-12-12,50,0
735043,936,108793,35-39,F,63,1357,0,1,1,Amazon,Twitter,Kindle,Ohio,89,2023-01-30,89,0
735048,936,108794,35-39,F,64,1393,0,1,0,Nike,Facebook,Nike Free,New York,0,2020-04-29,100,0
735065,936,108797,40-44,F,7,648,0,1,0,Samsung,LinkedIn,Galaxy Buds,North Carolina,0,2022-08-12,129.99,0
735109,936,108804,40-44,F,21,708,0,1,1,Tesla,Twitter,Model 3,Ohio,39990,2022-03-01,39990,0
735140,936,108809,40-44,F,26,6907,2,1,0,Ford,Instagram,Ford Escape,Nebraska,0,2022-09-19,24900,2.349999964
735143,936,108810,40-44,F,27,39035,13,1,0,Google,Twitter,Pixel,North Dakota,0,2021-06-11,799,19.32999957
735151,936,108811,40-44,F,28,926,0,1,0,Adidas,Facebook,NMD,Oregon,0,2023-11-20,130,0
735184,936,108817,40-44,F,63,4412,1,1,0,Intel,Google Ads,Intel Core,South Dakota,0,2023-03-16,200,1.450000048
735189,936,108818,40-44,F,64,9965,3,1,0,Intel,Instagram,Intel Iris,Oregon,0,2023-03-18,150,4.050000072
735213,936,108822,45-49,F,10,73634,23,1,0,Google,Instagram,Google Home,Ohio,0,2023-07-28,99,32.97999978
735220,936,108823,45-49,F,15,69708,20,1,0,Adidas,Google Ads,Ultraboost,Rhode Island,0,2022-04-27,180,31.28999949
735242,936,108826,45-49,F,19,530,0,1,0,Samsung,Google Ads,Samsung Pay,New Hampshire,0,2022-11-11,0,0
735247,936,108827,45-49,F,20,14257,6,1,0,Samsung,LinkedIn,Galaxy S,Hawaii,0,2020-12-01,799.99,8.789999962
735289,936,108834,45-49,F,27,20362,5,1,1,Apple,Instagram,iPhone,Arizona,999,2024-01-08,999,9.119999886
735290,936,108834,45-49,F,27,12215,4,1,0,Adidas,Google Ads,Yeezy,Kentucky,0,2022-09-09,220,6.26000011
735298,936,108836,45-49,F,29,85412,28,2,1,Amazon,LinkedIn,Fire TV Stick,California,39,2023-02-16,39,38.63999999
736869,936,109448,30-34,M,2,2338,1,1,0,Samsung,LinkedIn,Galaxy Tab,Indiana,0,2020-04-22,229.99,0.239999995
736890,936,109451,30-34,M,15,2522,0,1,0,Samsung,Google Ads,Galaxy Buds,Montana,0,2021-08-18,129.99,0
736893,936,109452,30-34,M,16,3587,0,1,0,Coca-Cola,Twitter,Fanta,Massachusetts,0,2021-06-12,1.5,0
736977,936,109470,30-34,M,27,1273,0,1,0,General Electric (GE),Instagram,GE Research,New Jersey,0,2023-08-18,1000,0
736988,936,109472,30-34,M,28,3891,1,1,0,Microsoft,Facebook,Surface Laptop,New Jersey,0,2020-02-22,999,1.090000033
736995,936,109473,30-34,M,29,1888,0,1,0,Intel,Twitter,Intel NUC,Connecticut,0,2022-10-27,300,0
736997,936,109473,30-34,M,29,1895,0,1,0,Tesla,Google Ads,Tesla Supercharger,Illinois,0,2023-07-29,1000,0
737097,936,109498,35-39,M,7,715,0,1,0,IBM,Instagram,IBM Quantum,Michigan,0,2020-03-17,1000,0
737130,936,109507,35-39,M,16,11199,2,1,0,Google,LinkedIn,Pixelbook,Iowa,0,2021-09-25,999,2.680000067
737320,936,109553,35-39,M,63,5676,2,1,0,Adidas,Facebook,NMD,Tennessee,0,2022-11-17,130,3.00999999
737375,936,109565,40-44,M,10,1415,0,1,0,Google,LinkedIn,Nest Thermostat,Kentucky,0,2022-03-07,249,0
737524,936,109601,40-44,M,30,2148,1,1,1,Ford,Twitter,Ford Mustang,Washington,27995,2022-09-13,27995,1.580000043
737644,936,109629,45-49,M,16,45401,10,1,0,Toyota,Twitter,Toyota Corolla,South Dakota,0,2020-04-04,20550,14.06000042
737657,936,109633,45-49,M,18,7478,2,1,1,Coca-Cola,Twitter,Vitaminwater,Arkansas,2,2023-01-10,2,2.900000095
737658,936,109633,45-49,M,18,4919,1,1,0,Google,LinkedIn,Chromebook,Arizona,0,2022-11-05,199,1.590000033
737674,936,109637,45-49,M,20,533,0,1,1,Apple,Facebook,HomePod,Indiana,299,2021-03-31,299,0
737766,936,109659,45-49,M,29,1447,0,1,1,Amazon,Google Ads,Fire TV Stick,South Dakota,39,2023-01-22,39,0
737896,936,109689,30-34,F,16,17553,3,1,0,General Electric (GE),Instagram,GE Digital,Kansas,0,2021-09-10,500,4.590000153
737931,936,109698,30-34,F,20,3343,1,1,0,Adidas,Twitter,Adidas Originals,Tennessee,0,2021-08-08,100,0.540000021
737961,936,109706,30-34,F,23,523,0,1,0,Intel,Facebook,Intel NUC,Maine,0,2020-07-25,300,0
737995,936,109714,30-34,F,26,1873,0,1,0,Google,Twitter,Chromecast,Delaware,0,2023-06-12,35,0
738006,936,109717,30-34,F,27,34740,7,1,1,Apple,Instagram,iPhone,Montana,999,2023-06-16,999,13.41000009
738067,936,109731,30-34,F,32,658,0,1,0,Amazon,Twitter,Fire TV Stick,Oklahoma,0,2022-12-02,39,0
738098,936,109738,30-34,F,64,1539,0,1,0,Apple,LinkedIn,iPad,Connecticut,0,2023-11-26,329,0
738307,936,109788,35-39,F,31,3010,1,1,1,Microsoft,LinkedIn,Surface Book,Mississippi,1499,2022-06-25,1499,0.860000014
738389,936,109808,40-44,F,10,27081,9,1,1,Intel,Google Ads,Intel Core,Tennessee,200,2020-10-12,200,10.77000046
738408,936,109813,40-44,F,16,20233,4,3,0,Sony,Facebook,Xperia,New York,0,2022-05-07,699.99,5.590000153
738413,936,109813,40-44,F,16,147159,36,3,1,Google,Google Ads,Nest Hub,North Carolina,89,2022-04-14,89,58.16000044
738423,936,109816,40-44,F,18,21664,7,1,1,Apple,LinkedIn,Apple Watch,Iowa,399,2020-01-14,399,10.61999977
738436,936,109820,40-44,F,19,9112,4,1,1,Nike,Facebook,Nike SB,Arizona,85,2022-01-14,85,5.460000038
738463,936,109826,40-44,F,21,542,0,1,0,Adidas,Google Ads,Adidas Samba,New Jersey,0,2020-08-08,70,0
738528,936,109839,40-44,F,30,402,0,1,1,Google,Google Ads,Nest Cam,Maryland,199,2020-12-18,199,0
738560,936,109844,40-44,F,64,1338,0,1,0,Sony,LinkedIn,Bravia TV,Idaho,0,2021-10-28,499.99,0
738582,936,109848,45-49,F,10,46150,15,1,1,Apple,LinkedIn,iMac,Iowa,1099,2021-03-08,1099,20.17999983
738592,936,109850,45-49,F,16,493821,116,4,1,Coca-Cola,Facebook,Powerade,Arizona,1.5,2023-06-18,1.5,176.3799977
738593,936,109850,45-49,F,16,92011,27,2,1,Samsung,Facebook,Galaxy Tab,Maryland,229.99,2022-08-31,229.99,34.39000046
738598,936,109851,45-49,F,18,12956,4,1,1,Adidas,Facebook,Yeezy,Iowa,220,2020-11-04,220,5.49000001
738606,936,109852,45-49,F,19,529,0,1,0,Sony,Google Ads,Sony Home Audio,Alaska,0,2021-08-04,299.99,0
738637,936,109857,45-49,F,24,944,1,1,0,Amazon,Google Ads,Amazon Music,Oklahoma,0,2020-04-09,9.99,1.419999957
738648,936,109859,45-49,F,26,111090,38,5,1,Intel,Twitter,Intel Evo,Iowa,200,2023-11-13,200,51.97000027
747212,936,110836,30-34,M,10,7208,2,1,0,Microsoft,LinkedIn,Xbox,Oklahoma,0,2022-09-14,299,3.190000057
747213,936,110836,30-34,M,10,1746,0,1,0,Microsoft,Google Ads,Azure,Minnesota,0,2020-07-01,200,0
747220,936,110837,30-34,M,15,2474,0,2,2,General Electric (GE),Google Ads,GE Research,Pennsylvania,2000,2022-08-10,1000,0
747222,936,110838,30-34,M,16,12489,2,1,0,IBM,Twitter,IBM Storage,Illinois,0,2023-12-04,1000,1.960000038
747223,936,110838,30-34,M,16,8032,1,2,0,Microsoft,LinkedIn,Azure,Wisconsin,0,2021-01-23,200,0.600000024
747248,936,110842,30-34,M,21,472,0,1,1,Toyota,LinkedIn,Toyota RAV4,Ohio,26850,2020-01-30,26850,0
747332,936,110856,30-34,M,64,792,0,1,1,Microsoft,Google Ads,Surface Book,North Carolina,1499,2020-02-06,1499,0
747362,936,110861,35-39,M,15,4607,1,1,1,Sony,Instagram,Sony Blu-ray,Kentucky,149.99,2023-11-10,149.99,1.149999976
747369,936,110862,35-39,M,16,13355,2,1,1,Nike,LinkedIn,Nike Free,North Carolina,100,2021-09-17,100,3.180000067
747370,936,110862,35-39,M,16,2936,0,1,0,Apple,Google Ads,iMac,West Virginia,0,2021-07-12,1099,0
747401,936,110867,35-39,M,22,2793,1,1,1,Intel,Google Ads,Intel Xeon,Missouri,500,2023-01-17,500,0.980000019
747435,936,110873,35-39,M,28,1032,0,1,0,Toyota,Twitter,Toyota 4Runner,Pennsylvania,0,2020-01-01,36410,0
747439,936,110874,35-39,M,29,1662,0,1,1,Sony,Facebook,Sony Headphones,Maine,199.99,2023-02-22,199.99,0
747489,936,110882,40-44,M,2,4016,2,1,1,Coca-Cola,LinkedIn,Coca-Cola Classic,Ohio,1.5,2021-11-17,1.5,1.480000049
747514,936,110886,40-44,M,16,14843,3,1,1,Samsung,LinkedIn,Samsung TV,Georgia,499.99,2021-06-02,499.99,2.939999938
747645,936,110908,45-49,M,10,9674,3,1,1,Ford,Twitter,Ford Ranger,Minnesota,25595,2023-09-02,25595,4.600000024
747659,936,110910,45-49,M,16,12186,2,1,0,Sony,Instagram,Sony Camera,Michigan,0,2023-10-09,499.99,2.669999957
747675,936,110913,45-49,M,20,673,0,1,0,Ford,LinkedIn,Ford Mustang,New Jersey,0,2020-10-15,27995,0
747678,936,110914,45-49,M,21,370,0,1,1,Google,Instagram,Nest Cam,Virginia,199,2020-09-30,199,0
747712,936,110919,45-49,M,26,450,0,1,1,Samsung,Facebook,SmartThings,New York,69.99,2020-01-12,69.99,0
747790,936,110932,30-34,F,10,2077,0,1,1,Adidas,Twitter,Adidas Samba,Wyoming,70,2021-07-27,70,0
747791,936,110932,30-34,F,10,31393,8,1,1,IBM,LinkedIn,IBM Security,Louisiana,100,2022-12-21,100,10.96000051
747795,936,110933,30-34,F,15,8410,2,1,1,Tesla,Twitter,Model X,Minnesota,89990,2021-03-09,89990,2.359999895
747798,936,110934,30-34,F,16,25884,5,1,0,Nike,Instagram,Nike SB,Indiana,0,2022-07-20,85,7.350000143
747824,936,110938,30-34,F,21,608,0,1,1,Adidas,Facebook,Pharrell Williams,Arkansas,140,2021-05-15,140,0
747828,936,110939,30-34,F,22,28488,10,1,0,Intel,Twitter,Intel Atom,Hawaii,0,2020-03-03,50,9.340000033
747852,936,110943,30-34,F,26,10126,3,1,0,IBM,Twitter,IBM Quantum,Connecticut,0,2023-01-21,1000,4.619999886
747859,936,110944,30-34,F,27,22572,5,1,0,Tesla,LinkedIn,Solar Roof,North Dakota,0,2023-09-30,25000,8.5
747863,936,110944,30-34,F,27,1955,0,1,1,Toyota,LinkedIn,Toyota Tacoma,Hawaii,26840,2020-01-11,26840,0
747879,936,110947,30-34,F,30,493,0,1,0,Intel,Instagram,Intel Core,Indiana,0,2020-10-08,200,0
747903,936,110951,30-34,F,63,1491,0,1,1,General Electric (GE),Google Ads,GE Digital,Illinois,500,2020-11-01,500,0
747911,936,110952,30-34,F,64,1495,0,1,1,Adidas,Instagram,Adidas Samba,Mississippi,70,2020-09-07,70,0
747968,936,110962,35-39,F,21,512,0,0,0,Ford,Instagram,Ford Focus,Illinois,0,2023-09-21,17890,0
747991,936,110966,35-39,F,25,4868,2,1,0,IBM,Instagram,IBM Security,Illinois,0,2021-12-08,100,2.420000076
748000,936,110967,35-39,F,26,6585,2,1,0,Ford,Twitter,Ford Mustang,Maryland,0,2020-07-09,27995,2.950000048
748007,936,110968,35-39,F,27,10164,2,1,1,IBM,LinkedIn,IBM Watson Health,Wisconsin,500,2022-12-26,500,3.720000029
748014,936,110970,35-39,F,29,11182,4,1,0,Amazon,LinkedIn,Ring Doorbell,Utah,0,2022-04-04,99,4.449999809
748045,936,110975,35-39,F,63,1238,0,1,0,Adidas,Google Ads,Yeezy,Vermont,0,2023-01-25,220,0
748086,936,110982,40-44,F,16,34127,8,1,0,Amazon,Instagram,AmazonFresh,Arizona,0,2022-04-27,14,13.07000017
748087,936,110982,40-44,F,16,29466,7,2,0,Amazon,Instagram,AmazonBasics,Michigan,0,2024-01-16,20,10.84999967
748089,936,110982,40-44,F,16,38759,9,1,0,Amazon,LinkedIn,AmazonBasics,Delaware,0,2022-06-21,20,10.84999967
748091,936,110982,40-44,F,16,41720,10,1,1,Apple,Google Ads,Apple TV,Maryland,149,2023-08-19,149,12.06000006
748225,936,111005,45-49,F,15,18602,5,1,0,Google,LinkedIn,Chromebook,Hawaii,0,2020-01-18,199,8.860000134
748230,936,111006,45-49,F,16,83929,21,4,1,Apple,Google Ads,AirPods,Arkansas,159,2021-10-25,159,27.72999954
748231,936,111006,45-49,F,16,25194,6,1,0,Tesla,Twitter,Model 3,Massachusetts,0,2021-07-06,39990,7.349999905
748233,936,111006,45-49,F,16,78627,19,1,0,Amazon,LinkedIn,Kindle,Wisconsin,0,2021-01-02,89,26.53000045
748235,936,111006,45-49,F,16,102695,25,3,0,Apple,Instagram,MacBook,Tennessee,0,2023-05-19,1299,39.42999983
748294,936,111016,45-49,F,27,82827,24,3,0,General Electric (GE),Instagram,GE Lighting,New Jersey,0,2023-11-06,10,47.93000031
748295,936,111016,45-49,F,27,9240,3,1,0,Coca-Cola,Facebook,Powerade,Massachusetts,0,2024-02-14,1.5,6.039999962
748303,936,111018,45-49,F,29,7706,2,1,0,Ford,Instagram,Ford Focus,Washington,0,2020-10-26,17890,2.369999886
748314,936,111020,45-49,F,31,7821,4,1,1,Ford,Instagram,Ford Bronco,Nevada,28995,2021-06-07,28995,6.340000153
748341,936,111024,45-49,F,64,1363,0,1,1,Google,Twitter,Stadia,New Hampshire,129,2021-08-02,129,0
776318,936,115484,45-49,F,15,3569,0,1,1,Amazon,Facebook,Fire TV Stick,Maine,39,2021-03-22,39,0
776322,936,115485,45-49,F,16,119063,34,1,0,Intel,Google Ads,Intel NUC,Wyoming,0,2020-01-26,300,53.21999949
776323,936,115485,45-49,F,16,99078,23,2,0,Microsoft,Instagram,OneDrive,California,0,2022-01-01,1.99,35.79999948
776325,936,115485,45-49,F,16,452398,114,1,0,IBM,Twitter,IBM Power Systems,Minnesota,0,2021-04-25,500,180.2200012
776334,936,115487,45-49,F,10,191223,48,1,0,Samsung,LinkedIn,Samsung Pay,New Hampshire,0,2024-01-16,0,76.41000056
776336,936,115487,45-49,F,10,22216,6,1,0,Amazon,Twitter,Echo,California,0,2022-05-04,99,9.549999952
776338,936,115487,45-49,F,10,48291,11,1,0,Adidas,Facebook,Adidas Originals,Missouri,0,2022-10-06,100,18.01999998
776353,936,115490,40-44,F,63,27559,8,1,0,Sony,Google Ads,Sony Dash,Florida,0,2022-03-12,99.99,13.37
776373,936,115493,45-49,F,25,10194,4,2,1,Tesla,Google Ads,Tesla Supercharger,Kentucky,1000,2020-02-10,1000,4.590000033
776383,936,115495,45-49,F,23,1168,0,1,1,Samsung,Facebook,Galaxy Buds,New York,129.99,2021-05-19,129.99,0
776405,936,115498,45-49,F,21,40126,16,1,0,General Electric (GE),Google Ads,GE Capital,Nebraska,0,2022-01-01,500,25.86000001
776416,936,115500,45-49,F,19,3659,1,1,1,Tesla,LinkedIn,Model 3,Idaho,39990,2020-08-01,39990,0.49000001
